Model,Accuracy,Precision,Recall,F1
Hybrid,0.9674303968858424,0.9752998251532988,0.7778148751890331,0.865434203050566
GNN,0.9546945079123296,0.878679190297922,0.7698214741638353,0.8206561564390846
Transformer,0.9276386773292714,0.930288637194008,0.5000687393208555,0.6504783680559991
Autoencoder,0.6183464500296183,0.8386167146974063,0.2559366754617414,0.3921832884097035
LSTM,0.592959295929593,0.7501429388221841,0.230782761653474,0.3529728275490987
MLP,0.6026064144876027,0.914501257334451,0.1919085312225154,0.3172433847048561
LightGBM,0.5981213505965981,0.9989339019189766,0.1648197009674582,0.2829533444058584
IsolationForest,0.5335533553355336,0.546430488459474,0.1790677220756376,0.269740328563858
XGBoost,0.5367690615215368,0.9906976744186048,0.0374670184696569,0.0722033898305084
RandomForest,0.51992891596852,1.0,0.0021108179419525,0.0042127435492364
